emp_no,first_name,last_name,from_date,title,to_date
27288,Chinho,Luck,1998-07-21,Senior Engineer,9999-01-01
27295,Marc,Orlowska,1998-03-19,Senior Engineer,9999-01-01
27298,Stepehn,Loncour,1985-05-31,Senior Engineer,9999-01-01
27310,Sigeru,Francisci,1992-03-28,Senior Staff,9999-01-01
27311,Gil,Schnabel,1998-04-09,Engineer,9999-01-01
27312,Heeju,Kornyak,1997-08-06,Senior Engineer,9999-01-01
27317,Kristian,Kornyak,1995-05-30,Senior Staff,9999-01-01
27319,Adin,Bashian,1996-12-05,Senior Staff,9999-01-01
27322,Ramzi,Binding,2001-01-10,Senior Staff,9999-01-01
27324,Sven,Merro,1995-08-23,Senior Engineer,9999-01-01
27325,Kauko,Baer,2002-03-03,Senior Engineer,9999-01-01
27330,Cedric,Lowrie,1998-11-30,Engineer,9999-01-01
27332,Charmane,Merey,1994-01-14,Senior Engineer,9999-01-01
27337,Mads,Undy,1997-08-13,Engineer,9999-01-01
27339,Mohammad,Katalagarianos,1996-03-08,Senior Engineer,9999-01-01
27340,Remzi,Rahimi,1993-05-26,Technique Leader,9999-01-01
27342,Goo,Schade,1998-08-06,Senior Staff,9999-01-01
27348,Candido,Hellwagner,1998-09-09,Senior Engineer,9999-01-01
27350,Saniya,Kakkar,1990-05-25,Technique Leader,9999-01-01
27357,Tsvetan,Schmiedel,1992-06-17,Senior Engineer,9999-01-01
27364,Vojin,Sooriamurthi,1996-07-26,Engineer,9999-01-01
27365,Mang,Morris,1994-02-27,Senior Staff,9999-01-01
27367,Mokhtar,Junet,1987-01-10,Senior Engineer,9999-01-01
27368,Dipayan,Keustermans,1992-03-25,Senior Staff,9999-01-01
27369,Cedric,Chinen,1992-08-19,Senior Staff,9999-01-01
27373,Jiafu,Varman,1985-10-24,Senior Engineer,9999-01-01
27374,Sham,Brattka,1994-06-10,Senior Staff,9999-01-01
27377,Mara,Gils,2000-10-17,Senior Engineer,9999-01-01
27381,Eirik,Ambroszkiewicz,1998-06-18,Senior Engineer,9999-01-01
27393,Satoru,Casperson,2000-07-02,Senior Engineer,9999-01-01
27396,Brendon,Zykh,2002-06-01,Senior Engineer,9999-01-01
27397,Bojan,Pepe,1994-09-28,Staff,9999-01-01
27403,Mamdouh,Hiroyama,2000-04-29,Senior Engineer,9999-01-01
27410,Dulce,Pauthner,2001-11-01,Senior Engineer,9999-01-01
27412,Shigeaki,Boguraev,1995-10-04,Staff,9999-01-01
27413,Phuoc,Aamodt,1992-08-27,Senior Staff,9999-01-01
27415,Ramachenga,Ramamoorthy,1990-03-03,Senior Staff,9999-01-01
27416,Subir,Ratnaker,1999-03-19,Staff,9999-01-01
27423,Nadjib,Nicolson,1998-12-30,Senior Engineer,9999-01-01
27424,Werner,Dayana,1992-02-15,Senior Engineer,9999-01-01
27429,Nahid,Plotkin,1995-08-28,Senior Engineer,9999-01-01
27434,Hein,Comte,1996-04-08,Senior Engineer,9999-01-01
27436,Haldun,Giarratana,1998-05-18,Engineer,9999-01-01
27441,Kitty,Demian,2001-02-02,Senior Staff,9999-01-01
27446,Heon,Levergood,1995-09-16,Senior Staff,9999-01-01
27454,Avishai,Ranst,1996-02-01,Senior Engineer,9999-01-01
27457,Anneke,Ratzlaff,1998-08-25,Engineer,9999-01-01
27459,Mitchel,Katzenelson,1995-07-17,Engineer,9999-01-01
27460,Chikara,Munck,1995-02-25,Senior Staff,9999-01-01
27463,Masaki,McDermid,1985-07-06,Senior Staff,9999-01-01
27468,Hilari,Armand,1997-04-18,Engineer,9999-01-01
27475,Yannik,Shanbhogue,1998-02-27,Senior Staff,9999-01-01
27482,Janalee,Zeleznik,1999-10-22,Senior Engineer,9999-01-01
27488,Mingdong,Schmittgen,1996-11-07,Engineer,9999-01-01
27492,Guoxiang,Provine,1997-08-21,Senior Engineer,9999-01-01
27495,Shuji,Beausoleil,1998-08-06,Senior Staff,9999-01-01
27496,Marke,Angelov,1986-08-15,Technique Leader,9999-01-01
27497,Sailaja,Uhrig,1995-11-22,Senior Engineer,9999-01-01
27498,Akeel,Gecseg,1997-09-15,Senior Staff,9999-01-01
27499,Shaibal,Oppitz,1997-07-28,Senior Staff,9999-01-01
27505,Iara,Katzenelson,1996-10-19,Senior Engineer,9999-01-01
27506,Hugo,Mitchem,1997-12-03,Senior Staff,9999-01-01
27511,Jiann,Perelgut,1994-04-25,Senior Engineer,9999-01-01
27528,Martijn,Baranowski,1995-09-07,Technique Leader,9999-01-01
27540,Hein,Yeung,1992-04-24,Senior Engineer,9999-01-01
27544,Tesuro,Mattern,1992-06-16,Technique Leader,9999-01-01
27545,Vishv,Weedon,1999-02-22,Technique Leader,9999-01-01
27548,Slavian,Riexinger,1994-06-07,Senior Staff,9999-01-01
27553,JoAnna,Penttonen,1996-03-20,Senior Staff,9999-01-01
27555,Murthy,Kading,1999-03-18,Engineer,9999-01-01
27557,Teunis,Oxman,1990-10-18,Senior Staff,9999-01-01
27559,Debaprosad,Zongker,2000-05-17,Senior Staff,9999-01-01
27563,Susuma,Ranon,1998-04-26,Engineer,9999-01-01
27564,Demin,Yoshizawa,2000-09-08,Senior Engineer,9999-01-01
27566,Annemarie,Kobuchi,2000-09-07,Senior Staff,9999-01-01
27571,Shahab,Terkki,1996-11-06,Senior Engineer,9999-01-01
27572,Toshimori,Kawashimo,1997-05-22,Staff,9999-01-01
27580,Mona,Haumacher,1996-09-28,Senior Staff,9999-01-01
27583,Yinghua,Selvestrel,1995-11-16,Senior Staff,9999-01-01
27586,Masadi,Snedden,1998-10-01,Senior Staff,9999-01-01
27588,Takahira,Anger,1994-12-13,Senior Staff,9999-01-01
27593,Gift,Stanger,1989-09-29,Technique Leader,9999-01-01
27595,Yuping,Bierbaum,2001-08-23,Engineer,9999-01-01
27596,Niclas,Nyrup,1999-02-01,Senior Engineer,9999-01-01
27604,Yuguang,Sudbeck,1996-04-22,Senior Engineer,9999-01-01
27619,Ronghao,Poulakidas,2001-11-15,Senior Staff,9999-01-01
27626,Vishu,Flanders,1996-11-17,Engineer,9999-01-01
27628,Stafford,Blokdijk,2000-02-01,Engineer,9999-01-01
27636,Kiyomitsu,Lalonde,1997-09-14,Senior Staff,9999-01-01
27637,Hiroyasu,Lamparter,2000-03-15,Senior Staff,9999-01-01
27639,Maris,Sadowsky,1995-10-27,Senior Engineer,9999-01-01
27640,Brendon,Thambidurai,1996-08-27,Staff,9999-01-01
27642,Muneo,Zockler,1992-08-10,Senior Engineer,9999-01-01
27652,Jacqueline,Matteis,2001-10-08,Senior Staff,9999-01-01
27654,Sajjan,Morris,1996-12-15,Senior Engineer,9999-01-01
27658,Fabrizio,Pargaonkar,1995-06-11,Technique Leader,9999-01-01
27659,Wojceich,Werthner,1996-06-18,Senior Engineer,9999-01-01
27664,Percy,Zolotykh,2001-07-20,Senior Engineer,9999-01-01
27670,Yolla,Merey,1991-09-10,Senior Engineer,9999-01-01
27671,JiYoung,Flasterstein,1989-12-18,Senior Staff,9999-01-01
27672,Nigel,Motley,1998-07-19,Engineer,9999-01-01
27677,Mohammed,Peak,1994-10-12,Senior Engineer,9999-01-01
27679,Kerryn,Lindqvist,1997-01-08,Staff,9999-01-01
27687,Ronghao,Baumann,2000-01-08,Senior Engineer,9999-01-01
27690,Bangqing,Azulay,1996-09-05,Engineer,9999-01-01
27694,Ronghao,Theuretzbacher,1996-07-19,Senior Staff,9999-01-01
27703,Mahmut,Douceur,1994-04-08,Senior Engineer,9999-01-01
27708,Dayanand,Gill,1992-06-01,Senior Staff,9999-01-01
27711,Leaf,Goodrum,1995-11-03,Engineer,9999-01-01
27715,Khoa,Adachi,1999-11-22,Staff,9999-01-01
27716,Radhika,Coney,1990-04-14,Technique Leader,9999-01-01
27725,DAIDA,Pavlopoulou,1998-11-11,Staff,9999-01-01
27728,Martina,Swift,1991-05-27,Senior Engineer,9999-01-01
27729,Xinyu,Escriba,1994-12-04,Staff,9999-01-01
27730,Uinam,Perng,1995-02-02,Senior Engineer,9999-01-01
27732,Girolamo,Facello,1986-06-30,Senior Engineer,9999-01-01
27736,Jaewon,Masand,1994-08-16,Senior Staff,9999-01-01
27739,Youssef,Piancastelli,1997-08-13,Staff,9999-01-01
27749,Katsuyuki,Biros,1993-03-02,Senior Staff,9999-01-01
27756,Stevo,Suwa,2002-01-28,Senior Staff,9999-01-01
27759,Subhada,Spelt,1996-07-26,Senior Engineer,9999-01-01
27765,Shushma,Litvinov,1987-01-18,Senior Engineer,9999-01-01
27771,Ziyad,Lorcy,1999-06-22,Engineer,9999-01-01
27772,Shahaf,Salvesen,1993-07-03,Senior Staff,9999-01-01
27776,Baruch,Ramras,2001-07-02,Senior Engineer,9999-01-01
27780,Siamak,Simkin,1993-04-29,Senior Staff,9999-01-01
27781,Qiwen,Wielonsky,1993-03-11,Senior Staff,9999-01-01
27783,Christoper,Strehl,2000-11-09,Senior Staff,9999-01-01
27785,Feipei,Mukaidono,1997-11-22,Staff,9999-01-01
27786,Lijia,Taubman,1996-05-11,Senior Staff,9999-01-01
27787,Xinglin,Bondorf,2001-02-22,Senior Engineer,9999-01-01
27790,Bader,Rosen,2001-11-28,Senior Engineer,9999-01-01
27797,Kazuhisa,Botman,1996-05-06,Senior Staff,9999-01-01
27801,Naraig,Danecki,1995-02-19,Senior Staff,9999-01-01
27817,Uri,Lakshmanan,2001-08-24,Senior Staff,9999-01-01
27819,Vidya,Zhiwei,1999-02-23,Senior Engineer,9999-01-01
27822,Syozo,Emden,1996-11-18,Senior Engineer,9999-01-01
27827,Kankanahalli,Comyn,2000-01-09,Senior Engineer,9999-01-01
27837,Branimir,Chachaty,1996-03-15,Senior Engineer,9999-01-01
27838,Chuanti,Hockney,1999-06-27,Engineer,9999-01-01
27839,Guther,Gornas,1998-05-02,Engineer,9999-01-01
27843,Bedir,Speek,1991-04-29,Senior Engineer,9999-01-01
27845,Zissis,Eickenmeyer,1997-05-25,Staff,9999-01-01
27848,Tooru,Bednarek,1997-04-26,Senior Engineer,9999-01-01
27850,Radoslaw,Perz,1998-09-26,Staff,9999-01-01
27852,Leucio,Polupanov,1996-11-09,Staff,9999-01-01
27854,Yurii,Unni,1991-11-11,Senior Staff,9999-01-01
27856,Lokesh,Holburn,1995-11-02,Senior Engineer,9999-01-01
27862,Jianhui,Garnham,1997-06-15,Senior Engineer,9999-01-01
27867,Holgard,Ulupinar,1998-07-25,Staff,9999-01-01
27880,Yinlin,Poujol,1998-12-19,Senior Engineer,9999-01-01
27883,Woody,Nilsson,1999-06-18,Senior Staff,9999-01-01
27884,Kristina,Zucker,1998-05-05,Engineer,9999-01-01
27888,Berna,Birta,1996-11-02,Senior Staff,9999-01-01
27892,Mads,Foote,2001-06-21,Senior Engineer,9999-01-01
27894,Alassane,Marquardt,1996-12-03,Senior Engineer,9999-01-01
27895,Basim,Maginnis,1990-09-17,Senior Engineer,9999-01-01
27897,Mabo,Melski,1999-03-01,Senior Engineer,9999-01-01
27899,Kristen,Hebert,1994-12-31,Senior Staff,9999-01-01
27904,Shaibal,Rijckaert,1999-04-08,Technique Leader,9999-01-01
27905,Monique,Barinka,1994-05-11,Engineer,9999-01-01
27910,Gil,Haumacher,1995-11-16,Senior Engineer,9999-01-01
27912,Domenick,Worfolk,1989-01-02,Senior Staff,9999-01-01
27914,Valter,Businaro,2001-10-03,Senior Staff,9999-01-01
27920,Lobel,Butner,1996-01-09,Senior Staff,9999-01-01
27925,Emdad,Pusterhofer,2002-06-21,Senior Engineer,9999-01-01
27926,Mats,Huttel,1985-10-23,Senior Staff,9999-01-01
27930,Lillian,Weedon,2002-05-17,Senior Staff,9999-01-01
27938,Yolla,Hanratty,1997-01-07,Senior Staff,9999-01-01
27939,Seongbae,Axelband,1999-12-10,Senior Engineer,9999-01-01
27942,Tianruo,Orlowska,1999-11-12,Senior Staff,9999-01-01
27947,Shugo,Nitsch,2001-12-22,Senior Staff,9999-01-01
27953,Katsuyuki,Eiter,1992-04-10,Senior Staff,9999-01-01
27958,Uno,Hasham,1990-08-02,Senior Engineer,9999-01-01
27959,Moheb,Dusink,1993-09-13,Senior Engineer,9999-01-01
27961,Wojceich,Murtafg,1996-06-08,Senior Engineer,9999-01-01
27962,Shushma,Mapelli,1996-04-01,Senior Staff,9999-01-01
27968,Harngdar,England,1997-05-14,Staff,9999-01-01
27975,Remmert,Rehfuss,1991-07-30,Senior Engineer,9999-01-01
27978,Sedat,Unni,1990-08-29,Senior Engineer,9999-01-01
27979,Mrinalini,Kropf,1997-06-13,Assistant Engineer,9999-01-01
27980,Beshir,Rotem,1999-03-24,Engineer,9999-01-01
27987,Giri,Pelz,1995-08-24,Senior Engineer,9999-01-01
27988,Armond,Etalle,2000-12-12,Senior Staff,9999-01-01
27991,Snehasis,Przulj,2000-02-08,Senior Staff,9999-01-01
27992,Zeydy,Braccini,1992-07-03,Senior Engineer,9999-01-01
27994,Atilio,Encarnacion,1995-08-20,Senior Staff,9999-01-01
27995,Yunming,Serre,1992-06-21,Senior Staff,9999-01-01
28001,Sachar,Slutz,2000-05-23,Senior Staff,9999-01-01
28008,Shugo,Luit,1994-09-29,Senior Staff,9999-01-01
28024,Berto,Massonet,2000-01-28,Staff,9999-01-01
28026,Chiradeep,Huttel,1997-11-13,Staff,9999-01-01
28027,Kagan,Wallrath,1997-06-28,Senior Staff,9999-01-01
28029,Irena,Crooks,1997-01-30,Staff,9999-01-01
28033,Lokesh,Schurmann,1999-11-06,Engineer,9999-01-01
28035,Florina,Merro,1999-09-13,Assistant Engineer,9999-01-01
28036,LiMin,Hasenauer,1999-02-23,Senior Staff,9999-01-01
28044,Ronnie,Gils,1998-08-23,Senior Staff,9999-01-01
28048,Stevo,Ranta,1994-07-28,Senior Staff,9999-01-01
28060,Parke,Manders,2000-07-14,Senior Engineer,9999-01-01
28071,Fen,Loncour,1999-07-05,Staff,9999-01-01
28074,Shmuel,Syrotiuk,1996-01-15,Senior Staff,9999-01-01
28076,Suzette,Pelc,1996-05-18,Senior Staff,9999-01-01
28079,Rimon,Salvesen,1994-04-30,Senior Engineer,9999-01-01
28082,Michaela,Sudbeck,1998-12-04,Engineer,9999-01-01
28085,Fabrizio,Litecky,1998-04-30,Senior Staff,9999-01-01
28090,Rasikan,Nitta,1997-07-07,Engineer,9999-01-01
28103,Clyde,Sinitsyn,1991-11-27,Senior Staff,9999-01-01
28104,Dmitry,Marsiglia,1994-12-03,Staff,9999-01-01
28105,Tetsurou,Baby,1990-02-20,Senior Engineer,9999-01-01
28122,Arve,Skafidas,1999-09-24,Senior Staff,9999-01-01
28126,Sanjiv,Dolinsky,1993-07-27,Senior Staff,9999-01-01
28127,Minghong,Veevers,1999-05-20,Senior Staff,9999-01-01
28139,Theron,Merkl,1995-05-12,Senior Engineer,9999-01-01
28143,Adin,Teitelbaum,1993-10-25,Senior Staff,9999-01-01
28146,Niteen,Azadmanesh,1999-02-12,Engineer,9999-01-01
28149,Sandeepan,Gulik,2002-02-02,Senior Engineer,9999-01-01
28161,Kwan,Nicolson,1996-06-04,Senior Staff,9999-01-01
28165,Sanjit,Lorch,1986-12-26,Technique Leader,9999-01-01
28171,Filipe,Setlzner,1996-07-08,Senior Engineer,9999-01-01
28180,Teiji,Schusler,1996-01-22,Senior Staff,9999-01-01
28186,Junichi,Georgatos,1998-12-27,Technique Leader,9999-01-01
28200,Lena,Heinisuo,1993-08-13,Senior Engineer,9999-01-01
28207,Sakthirel,Ebeling,1993-09-12,Senior Engineer,9999-01-01
28208,Tristan,Lienhardt,1992-07-25,Senior Engineer,9999-01-01
28209,Gadiel,Millington,1997-08-07,Senior Staff,9999-01-01
28213,Ebru,Conde,1999-08-28,Senior Engineer,9999-01-01
28219,Feiyu,Lally,1996-01-19,Staff,9999-01-01
28221,Candido,Yamaashi,2000-05-19,Engineer,9999-01-01
28224,Debatosh,Crabtree,1998-04-14,Senior Staff,9999-01-01
28225,Aria,Lund,1997-04-09,Senior Staff,9999-01-01
28240,Reuven,Lorcy,1987-04-25,Senior Staff,9999-01-01
28242,Thodoros,Vasanthakumar,1993-06-15,Senior Staff,9999-01-01
28243,Marsal,Jording,2002-04-16,Senior Engineer,9999-01-01
28246,Qunsheng,Rothenberg,1994-06-05,Staff,9999-01-01
28247,Morris,Parascandalo,1998-11-02,Senior Staff,9999-01-01
28249,Goh,Badr,1997-06-01,Senior Engineer,9999-01-01
28254,Shichao,Pramanik,1997-07-18,Engineer,9999-01-01
28256,Armond,Valiente,1994-02-13,Technique Leader,9999-01-01
28268,Uma,Pillow,1999-06-07,Assistant Engineer,9999-01-01
28271,Sugwoo,Wynblatt,1995-01-26,Senior Engineer,9999-01-01
28281,Adhemar,Oxenboll,1998-12-05,Senior Staff,9999-01-01
28283,Quingbo,Dulay,1997-02-10,Engineer,9999-01-01
28288,Martijn,Niizuma,1993-04-13,Senior Staff,9999-01-01
28292,Zeljko,Wynblatt,1994-02-22,Engineer,9999-01-01
28298,Holgard,Ritcey,1996-07-03,Senior Staff,9999-01-01
28306,Wilmer,Papsdorf,1996-08-29,Senior Engineer,9999-01-01
28315,Hideo,Servi,1994-08-17,Senior Engineer,9999-01-01
28318,Teunis,Whitcomb,1993-06-20,Senior Staff,9999-01-01
28321,Heather,Oehlmann,1994-06-11,Senior Staff,9999-01-01
28322,Premal,Millington,1992-05-10,Senior Staff,9999-01-01
28327,Pascal,Welham,1993-07-01,Senior Engineer,9999-01-01
28329,Sasan,Berztiss,1999-05-31,Senior Engineer,9999-01-01
28330,Weidon,Hagimont,1992-04-30,Senior Staff,9999-01-01
28331,Torsten,Leuchs,1991-02-17,Senior Engineer,9999-01-01
28340,Hongzhu,Provine,1997-05-30,Senior Staff,9999-01-01
28343,Danny,Zuberek,1998-08-13,Senior Engineer,9999-01-01
28344,Fan,Barriga,1991-05-13,Senior Staff,9999-01-01
28345,Tamiya,Seghrouchni,1996-09-07,Senior Staff,9999-01-01
28350,Theron,Heusch,1994-06-07,Senior Staff,9999-01-01
28352,Urs,Pero,1998-11-25,Engineer,9999-01-01
28354,Geoffrey,Prochazka,1986-10-22,Senior Engineer,9999-01-01
28357,Tetsurou,Terekhov,1998-10-10,Senior Engineer,9999-01-01
28358,Constantino,Salinas,1993-06-04,Senior Staff,9999-01-01
28359,Kshitij,Stellhorn,1992-04-23,Senior Staff,9999-01-01
28366,Abdelwaheb,Falster,1985-08-19,Senior Engineer,9999-01-01
28369,Ronghao,Nourani,1996-04-02,Senior Staff,9999-01-01
28373,Steen,Bhattacharjee,1993-11-29,Senior Staff,9999-01-01
28375,Alassane,Kieras,2000-05-01,Senior Engineer,9999-01-01
28382,Mihalis,Zuberek,1992-07-10,Senior Engineer,9999-01-01
28383,Gladys,Chimia,1997-10-09,Senior Staff,9999-01-01
28384,Szabolcs,Munck,1997-02-19,Senior Engineer,9999-01-01
28385,Filipp,Conia,1993-07-30,Senior Staff,9999-01-01
28386,Snehasis,Spelt,1996-03-08,Senior Engineer,9999-01-01
28391,Elvia,Brlek,1990-08-07,Senior Staff,9999-01-01
28394,Gaetan,Emiris,1989-12-06,Senior Staff,9999-01-01
28404,Francesca,Schicker,2000-07-26,Senior Staff,9999-01-01
28411,Weicheng,Yavatkar,1998-03-27,Senior Staff,9999-01-01
28413,Nadjib,Brodie,1993-10-03,Senior Staff,9999-01-01
28414,Juichirou,Azadmanesh,1996-05-24,Senior Staff,9999-01-01
28418,Sachio,Suermann,1986-11-10,Senior Engineer,9999-01-01
28419,Luerbio,Covnot,1992-12-19,Senior Engineer,9999-01-01
28422,Eckart,Cmelik,1993-11-20,Engineer,9999-01-01
28426,Martina,Wielonsky,1997-02-12,Engineer,9999-01-01
28427,Kenton,Melton,1997-08-17,Senior Staff,9999-01-01
28428,Sadegh,Apsitis,1989-05-06,Senior Staff,9999-01-01
28432,Manton,Validov,1992-10-29,Senior Staff,9999-01-01
28434,Weiye,Barvinok,1994-04-14,Senior Engineer,9999-01-01
28440,Cordelia,Tomescu,2001-02-24,Senior Staff,9999-01-01
28444,Harjit,Henseler,1994-11-06,Senior Engineer,9999-01-01
28447,Anneke,Ghelli,1989-05-10,Technique Leader,9999-01-01
28449,Tristan,Bach,1993-02-21,Senior Engineer,9999-01-01
28468,Zorica,Hasham,1996-07-04,Senior Staff,9999-01-01
28478,Chiradeep,Simmen,1998-02-17,Senior Engineer,9999-01-01
28479,Nahum,Bondorf,2001-04-17,Senior Staff,9999-01-01
28487,Ziva,Alblas,2000-01-31,Staff,9999-01-01
28490,Marsal,Jervis,1994-11-13,Senior Engineer,9999-01-01
28497,Lijie,Stanfel,1996-04-18,Senior Staff,9999-01-01
28498,Khun,Rosaz,1998-04-27,Staff,9999-01-01
28501,Nagui,Viele,1998-08-08,Staff,9999-01-01
28504,Boalin,Peng,1997-08-05,Senior Engineer,9999-01-01
28510,Subhankar,Desikan,1988-11-25,Technique Leader,9999-01-01
28511,Shugo,Pero,1991-09-30,Technique Leader,9999-01-01
28517,Baziley,Masaki,1997-04-07,Engineer,9999-01-01
28521,Hatim,Hofman,2000-12-27,Senior Staff,9999-01-01
28522,Thanasis,Montresor,1998-07-15,Staff,9999-01-01
28525,Dannz,Highland,1992-06-13,Senior Engineer,9999-01-01
28528,Sariel,Veccia,1999-08-12,Senior Staff,9999-01-01
28529,Mabo,Griswold,1990-06-09,Senior Engineer,9999-01-01
28540,Jiang,Ladret,1995-10-23,Engineer,9999-01-01
28541,Subir,Pews,1997-07-21,Engineer,9999-01-01
28542,Ferdinand,Guardalben,1991-09-08,Senior Engineer,9999-01-01
28546,Petter,Pluym,1996-07-22,Senior Staff,9999-01-01
28548,Nimmagadda,Vieri,1998-10-03,Staff,9999-01-01
28549,Vidya,McAffer,1994-07-19,Staff,9999-01-01
28554,Barry,Salverda,1990-12-25,Senior Engineer,9999-01-01
28555,Kankanahalli,Wendorf,1987-05-23,Senior Staff,9999-01-01
28558,Leni,Raczkowsky,1992-05-14,Senior Staff,9999-01-01
28561,Basem,Speek,1998-12-03,Staff,9999-01-01
28565,Rosalie,Bain,2001-06-19,Senior Staff,9999-01-01
28580,Yannis,Heyers,1999-10-28,Staff,9999-01-01
28594,Arno,Spelt,1998-10-15,Senior Engineer,9999-01-01
28595,JoAnne,Molberg,1998-01-20,Senior Engineer,9999-01-01
28596,Perla,Porotnikoff,1995-04-07,Senior Staff,9999-01-01
28600,Mingzeng,Whitcomb,1999-09-03,Staff,9999-01-01
28601,Irene,Lichtner,1997-02-07,Senior Engineer,9999-01-01
28602,Janche,Peng,1997-06-07,Senior Engineer,9999-01-01
28613,Giao,Stemann,1998-11-24,Senior Engineer,9999-01-01
28614,Sarita,Lorys,1998-12-28,Technique Leader,9999-01-01
28616,Kristinn,Koshino,1995-06-19,Senior Staff,9999-01-01
28619,Pragnesh,Majewski,1998-12-05,Staff,9999-01-01
28622,Shin,Hofting,1995-04-15,Staff,9999-01-01
28626,Junichi,Tramer,1999-07-18,Senior Engineer,9999-01-01
28627,Serge,Plumb,1996-12-28,Senior Staff,9999-01-01
28628,Zhonghui,Zyda,1994-02-16,Senior Staff,9999-01-01
28631,Dmitry,Marletta,1998-12-30,Senior Engineer,9999-01-01
28632,Arne,Boreale,1994-05-25,Senior Engineer,9999-01-01
28634,Kwun,Stille,2000-03-20,Senior Staff,9999-01-01
28635,Serap,Kermarrec,1997-11-08,Engineer,9999-01-01
28636,Geoff,Krychniak,2000-04-03,Senior Engineer,9999-01-01
28645,Djelloul,Decleir,1999-11-21,Senior Engineer,9999-01-01
28648,Nagui,Luca,1995-04-04,Senior Staff,9999-01-01
28652,Irena,Munke,1990-05-30,Senior Staff,9999-01-01
28653,Pranay,Flanders,1994-03-05,Senior Staff,9999-01-01
28654,Kazunori,Solares,1990-09-27,Senior Engineer,9999-01-01
28657,Jaewoo,Orlowski,2001-02-07,Senior Staff,9999-01-01
28662,Amalendu,Koshino,1998-07-19,Staff,9999-01-01
28665,Gro,Ruemmler,2000-09-07,Senior Engineer,9999-01-01
28668,Isaac,Kornyak,1995-08-20,Senior Staff,9999-01-01
28669,Bernt,Eppinger,1995-06-24,Senior Staff,9999-01-01
28673,Carrsten,Zultner,1993-06-27,Senior Engineer,9999-01-01
28677,Terresa,Gunderson,1993-03-20,Senior Staff,9999-01-01
28681,Danny,Dalton,1997-10-01,Senior Engineer,9999-01-01
28687,Ulf,Ghazalie,1996-10-22,Senior Staff,9999-01-01
28688,Tesuya,Pargaonkar,1997-02-23,Staff,9999-01-01
28689,Jessie,Lores,2000-02-02,Senior Staff,9999-01-01
28694,Kiyotoshi,Pulkowski,2001-09-25,Senior Engineer,9999-01-01
28700,Huan,Heemskerk,2000-12-14,Senior Engineer,9999-01-01
28703,Tremaine,Remmele,1997-02-06,Staff,9999-01-01
28705,Nadjib,Skrikant,1997-01-16,Senior Engineer,9999-01-01
28710,Ranga,Portugali,1993-12-26,Senior Engineer,9999-01-01
28711,Doohun,Hatcliff,1999-01-10,Senior Staff,9999-01-01
28714,Arco,Poehlman,1996-11-25,Assistant Engineer,9999-01-01
28715,Bikash,Fordan,2001-03-03,Senior Engineer,9999-01-01
28716,Kristian,Hertweck,1995-07-21,Senior Staff,9999-01-01
28725,Iara,Sinitsyn,1992-07-16,Senior Staff,9999-01-01
28726,Marie,Veldwijk,1997-07-26,Engineer,9999-01-01
28734,Arvind,Heydon,1995-05-06,Senior Staff,9999-01-01
28739,Elliott,Wixon,1994-01-14,Senior Staff,9999-01-01
28741,Denis,Marrakchi,1998-11-27,Senior Engineer,9999-01-01
28746,Steve,Maquelin,1994-01-03,Senior Staff,9999-01-01
28750,Guangming,Speckmann,1986-05-14,Senior Staff,9999-01-01
28753,Leaf,Lichtner,1995-03-27,Senior Staff,9999-01-01
28755,Xiahua,Cmelik,1999-08-12,Senior Staff,9999-01-01
28756,Laurentiu,Mellouli,1995-08-19,Staff,9999-01-01
28757,Branimir,Poupard,1991-06-26,Senior Staff,9999-01-01
28761,Xiping,Birdsall,1999-04-24,Senior Staff,9999-01-01
28763,Selwyn,Bojadziev,1998-07-08,Senior Staff,9999-01-01
28768,Rimon,Hammerschmidt,1990-09-07,Technique Leader,9999-01-01
28770,Abdelghani,Farris,1993-05-28,Senior Engineer,9999-01-01
28773,Tomokazu,Polupanov,1986-03-19,Senior Engineer,9999-01-01
28774,Ravishankar,Hebden,1996-05-03,Staff,9999-01-01
28776,Stevo,Narlikar,1998-09-14,Senior Engineer,9999-01-01
28779,Fayez,Bottner,1995-06-04,Senior Staff,9999-01-01
28782,Marl,Yemenis,2002-03-25,Engineer,9999-01-01
28783,Jessie,Trachtenberg,1998-07-24,Senior Staff,9999-01-01
28785,Changho,Gilg,2000-05-08,Senior Engineer,9999-01-01
28791,Nidapan,Andreotta,1995-06-27,Senior Staff,9999-01-01
28792,Rosli,Salinas,1998-05-30,Senior Engineer,9999-01-01
28794,Kyoichi,Peron,1995-03-15,Senior Engineer,9999-01-01
28798,Susuma,Erez,2002-03-05,Senior Engineer,9999-01-01
28802,Almudena,Chinen,1992-04-20,Senior Engineer,9999-01-01
28804,Huican,Michaeli,1993-08-24,Senior Staff,9999-01-01
28811,Cristinel,Vrecion,1994-04-03,Engineer,9999-01-01
28813,Patricia,Fiutem,1999-05-18,Staff,9999-01-01
28818,Hongzhu,Panienski,1999-01-13,Senior Engineer,9999-01-01
28825,Zhensheng,Zaccaria,1997-01-31,Staff,9999-01-01
28827,Hugh,Heydon,1995-06-23,Senior Engineer,9999-01-01
28834,Gil,Vickson,1999-01-14,Engineer,9999-01-01
28836,Huiqun,Ravishankar,1994-08-15,Senior Staff,9999-01-01
28841,Rafols,Pettey,1998-08-15,Senior Engineer,9999-01-01
28844,Chiranjit,Hiltgen,1999-04-18,Senior Engineer,9999-01-01
